P32780 1PFJ
P32780 2DII
P32780 2RNR
P32780 2RUK
P32780 2RVB
P32780 5GOW
P32780 5XV8
O95718 1LO1
P10589 2EBL
Q9H8U3 1X4W
O43559 2KUP
O43559 2KUQ
O43559 2YS5
O43559 2YT2
O60882 2JSD
O95718 1LO1
Q9Y2L8 2EM5
Q9Y2L8 2EMM
Q9Y2L8 2EMZ
Q9Y2L8 2EN3
Q9Y2L8 2EOM
Q9Y2L8 2EON
Q9Y2L8 2EOO
Q9Y2L8 2YSO
Q9Y2L8 2YTG
O15344 2DQ5
O15344 2FFW
O15344 2JUN
O15344 5IM8
Q8TE68 2K2M
Q8TE68 2ROL
Q14587 2EL4
Q14587 2EL5
Q14587 2EL6
Q14587 2EM1
Q14587 2EMV
Q14587 2EMW
Q14587 2EMX
Q14587 2EMY
Q14587 2EN0
Q14587 2EN6
Q14587 2EN7
Q14587 2EOF
Q14587 2EOG
Q14587 2EOI
Q14587 2EOJ
Q14587 2EOK
Q14587 2EOL
Q14587 2EOP
Q14587 2EPV
Q14587 2EPW
Q14587 2EPY
Q14587 2YTF
Q14587 2YTQ
Q8WTR7 2EMB
Q8WTR7 2EMC
Q8WTR7 2EME
Q8WTR7 2EOU
Q8WTR7 2EOX
Q8WTR7 2EOY
Q8WTR7 2EOZ
Q8WTR7 2YRH
Q8WTR7 2YRJ
Q8WTR7 2YSV
Q8WTR7 2YTD
Q8WTR7 2YTE
Q8WTR7 2YTT
Q8WTR7 2YU5
Q9UPV7 1WIL
Q9UPV7 5XHT
P50461 2O10
P50461 2O13
Q9NZL3 2ELY
Q9NZL3 2ELZ
Q9NZL3 2EM0
Q9NZL3 2EM6
Q9NZL3 2EM7
Q9NZL3 2EM8
Q9NZL3 2EM9
Q9NZL3 2EN1
Q9NZL3 2EN8
Q9NZL3 2ENA
Q9NZL3 2ENC
Q9NZL3 2EOQ
Q9NZL3 2EOR
Q9NZL3 2EQ4
Q9NZL3 2YSP
Q9NZL3 2YTH
Q8WXD0 2M96
Q9UHR4 2KXC
Q9UHR4 2LNH
Q15654 1X61
Q15654 2DLO
Q96SE7 2EMA
Q96SE7 2EMP
Q96SE7 2EN4
Q96SE7 2ENE
Q96SE7 2ENF
Q96SE7 2EOE
Q96SE7 2EOW
Q96SE7 2EQ0
Q96SE7 2EQ1
Q96SE7 2EQ2
Q96SE7 2EQ3
Q96SE7 2YTI
Q96SE7 2YTK
Q96SE7 2YTN
Q96SE7 2YTR
Q96SE7 2YU8
Q9ULJ3 1WJP
Q9UJ78 2DAS
P38159 2MB0
P38159 2MKS
Q5TD97 1X68
Q8WXD0 2M96
Q9ULJ3 1WJP
Q8NHY6 2EM2
Q8NHY6 2EM3
Q8NHY6 2EM4
Q8NHY6 2EMJ
Q8NHY6 2EMK
Q8NHY6 2EML
Q8NHY6 2EN9
Q8NHY6 2ENH
Q8NHY6 2EOH
Q8NHY6 2EP0
Q8NHY6 2EPX
Q8NHY6 2EPZ
Q8NHY6 2YTM
Q8TEY7 2UZG
Q9UHR4 2KXC
Q9UHR4 2LNH
Q8WTR7 2EMB
Q8WTR7 2EMC
Q8WTR7 2EME
Q8WTR7 2EOU
Q8WTR7 2EOX
Q8WTR7 2EOY
Q8WTR7 2EOZ
Q8WTR7 2YRH
Q8WTR7 2YRJ
Q8WTR7 2YSV
Q8WTR7 2YTD
Q8WTR7 2YTE
Q8WTR7 2YTT
Q8WTR7 2YU5
Q96SE7 2EMA
Q96SE7 2EMP
Q96SE7 2EN4
Q96SE7 2ENE
Q96SE7 2ENF
Q96SE7 2EOE
Q96SE7 2EOW
Q96SE7 2EQ0
Q96SE7 2EQ1
Q96SE7 2EQ2
Q96SE7 2EQ3
Q96SE7 2YTI
Q96SE7 2YTK
Q96SE7 2YTN
Q96SE7 2YTR
Q96SE7 2YU8
P15822 1BBO
P15822 3ZNF
P15822 4ZNF
Q9P246 2L5Y
Q96MF7 2YU4
P32780 1PFJ
P32780 2DII
P32780 2RNR
P32780 2RUK
P32780 2RVB
P32780 5GOW
P32780 5XV8
P50461 2O10
P50461 2O13
P35251 2EBU
P35251 2K6G
P35251 2K7F
Q14134 2CSV
Q8WU20 1XR0
Q8WU20 2MFQ
P07225 1Z6C
P47974 1RGO
P50461 2O10
P50461 2O13
Q8N4Q1 2K3J
Q8N4Q1 2L0Y
Q99653 2E30
Q5JVG2 2EMF
Q5JVG2 2EMG
Q5JVG2 2EMH
Q5JVG2 2EMI
Q5JVG2 2EOV
Q5JVG2 2EP1
Q5JVG2 2EP2
Q5JVG2 2EP3
Q5JVG2 2EQW
Q5JVG2 2YTJ
Q5JVG2 2YTO
Q5JVG2 2YTP
Q5JVG2 2YTS
P07225 1Z6C
Q99653 2E30
Q96ME7 2CTD
Q63HK5 2DMI
Q96ME7 2CTD
O75800 2D8Q
O75800 2DAN
Q14566 2KLQ
Q14566 2LE8
Q8TE68 2K2M
Q8TE68 2ROL
Q9P243 2ELM
Q9P243 2ELN
Q9P243 2ELO
Q9P243 2ELP
Q9P243 2ELQ
Q9P243 2ELR
Q9P243 2ELS
Q9P243 2ELT
Q9P243 2ELU
Q9P243 2ELV
Q9P243 2RSH
Q9P243 2RSI
Q9P243 2RSJ
Q9P243 2RUT
Q9P243 2RUU
Q9P243 2RUV
Q9P243 2RUW
Q9P243 2RUX
Q9P243 2RUY
Q9P243 2RUZ
Q9P243 2RV0
Q9P243 2RV1
Q9P243 2RV2
Q9P243 2RV3
Q9P243 2RV6
Q9P243 2RV7
Q9P243 2ELM
Q9P243 2ELN
Q9P243 2ELO
Q9P243 2ELP
Q9P243 2ELQ
Q9P243 2ELR
Q9P243 2ELS
Q9P243 2ELT
Q9P243 2ELU
Q9P243 2ELV
Q9P243 2RSH
Q9P243 2RSI
Q9P243 2RSJ
Q9P243 2RUT
Q9P243 2RUU
Q9P243 2RUV
Q9P243 2RUW
Q9P243 2RUX
Q9P243 2RUY
Q9P243 2RUZ
Q9P243 2RV0
Q9P243 2RV1
Q9P243 2RV2
Q9P243 2RV3
Q9P243 2RV6
Q9P243 2RV7
Q9UJV3 2DJA
Q9UJV3 2DMK
Q63HK5 2DMI
P49768 2KR6
Q8NHY6 2EM2
Q8NHY6 2EM3
Q8NHY6 2EM4
Q8NHY6 2EMJ
Q8NHY6 2EMK
Q8NHY6 2EML
Q8NHY6 2EN9
Q8NHY6 2ENH
Q8NHY6 2EOH
Q8NHY6 2EP0
Q8NHY6 2EPX
Q8NHY6 2EPZ
Q8NHY6 2YTM
Q8TF39 2CTU
P0CE72 1TTX
Q9NZL3 2ELY
Q9NZL3 2ELZ
Q9NZL3 2EM0
Q9NZL3 2EM6
Q9NZL3 2EM7
Q9NZL3 2EM8
Q9NZL3 2EM9
Q9NZL3 2EN1
Q9NZL3 2EN8
Q9NZL3 2ENA
Q9NZL3 2ENC
Q9NZL3 2EOQ
Q9NZL3 2EOR
Q9NZL3 2EQ4
Q9NZL3 2YSP
Q9NZL3 2YTH
Q9C035 2ECV
Q9C035 2YRG
Q9H0M4 2E61
Q9H0M4 2RR4
Q8WTR7 2EMB
Q8WTR7 2EMC
Q8WTR7 2EME
Q8WTR7 2EOU
Q8WTR7 2EOX
Q8WTR7 2EOY
Q8WTR7 2EOZ
Q8WTR7 2YRH
Q8WTR7 2YRJ
Q8WTR7 2YSV
Q8WTR7 2YTD
Q8WTR7 2YTE
Q8WTR7 2YTT
Q8WTR7 2YU5
Q92995 2L80
Q92995 2LBC
Q13642 1X63
Q13642 2CUP
Q13642 2CUR
Q13642 2EGQ
Q14587 2EL4
Q14587 2EL5
Q14587 2EL6
Q14587 2EM1
Q14587 2EMV
Q14587 2EMW
Q14587 2EMX
Q14587 2EMY
Q14587 2EN0
Q14587 2EN6
Q14587 2EN7
Q14587 2EOF
Q14587 2EOG
Q14587 2EOI
Q14587 2EOJ
Q14587 2EOK
Q14587 2EOL
Q14587 2EOP
Q14587 2EPV
Q14587 2EPW
Q14587 2EPY
Q14587 2YTF
Q14587 2YTQ
P62995 2CQC
P62995 2KXN
P62995 2RRA
P62995 2RRB
Q8TB52 2YRE
Q8NHY6 2EM2
Q8NHY6 2EM3
